0,00 1,8163E05
0,44 1,7092E05
0,87 1,5493E05
1,31 1,6372E05
1,75 89681,00
2,19 94491,00
2,62 1,4685E05
3,06 53575,00
3,50 1,1214E06
3,94 1,4506E06
4,37 1,4971E06
4,81 1,4863E06
5,25 1,414E06
5,69 1,2507E06
6,12 1,1845E06
6,56 1,4097E06
7,00 1,5356E06
7,44 1,562E06
7,87 1,4145E06
8,31 5,5364E05
8,75 2,9979E05
9,19 5,2508E05
9,62 1,1734E06
10,06 1,3277E06
10,50 1,3446E06
10,94 1,2806E06
11,37 1,192E06
11,81 1,2232E06
12,25 1,3269E06
12,69 1,3848E06
13,12 1,3894E06
13,56 7,6488E05
14,00 97694,00
14,43 1,0229E06
14,87 1,1234E06
15,31 6,6468E05
15,75 3,1117E05
16,18 1,8748E05
16,62 1,6821E05
17,06 1,6645E05
17,50 1,6861E05
17,93 95406,00
18,37 24626,00
18,81 33959,00
19,25 64439,00
19,68 20944,00
20,12 10597,00
20,56 23825,00
21,00 69942,00
21,43 1,1893E05
21,87 1,5134E05
22,31 1,4178E05
22,75 1,2068E05
23,18 84812,00
23,62 89438,00
24,06 1,0054E05
24,50 1,1521E05
24,93 1,3538E05
25,37 1,2349E05
25,81 1,4237E05
26,25 1,7195E05
26,68 1,7531E05
27,12 1,9004E05
27,56 1,3519E05
28,00 1,2008E05
28,43 1,4102E05
28,87 1,6186E05
29,31 1,8653E05
29,74 1,6322E05
30,18 1,4806E05
30,62 1,1836E05
31,06 1,2893E05
31,49 1,4601E05
31,93 1,5599E05
32,37 1,8429E05
32,81 1,7928E05
33,24 1,5133E05
33,68 1,4186E05
34,12 1,3919E05
34,56 1,7155E05
34,99 1,6013E05
35,43 2,267E05
35,87 2,5416E05
36,31 2,319E05
36,74 2,4271E05
37,18 2,3592E05
37,62 2,356E05
38,06 2,9389E05
38,49 3,0787E05
38,93 2,528E05
39,37 2,2459E05
39,81 2,1359E05
40,24 2,1439E05
40,68 2,0745E05
41,12 1,8158E05
41,56 1,6387E05
41,99 1,4988E05
42,43 1,7419E05
42,87 1,8453E05
43,30 1,9073E05
43,74 1,9743E05
44,18 1,9894E05
44,62 1,8317E05
45,05 1,7431E05
45,49 2,2706E05
45,93 2,4645E05
46,37 1,9771E05
46,80 1,6389E05
47,24 1,5413E05
47,68 1,6124E05
48,12 1,8326E05
48,55 2,2297E05
48,99 1,9953E05
49,43 2,0248E05
49,87 2,0087E05
50,30 2,1322E05
50,74 2,3423E05
51,18 2,4349E05
51,62 2,2293E05
52,05 2,2456E05
52,49 2,328E05
52,93 2,1758E05
53,37 2,334E05
53,80 2,1841E05
54,24 1,7263E05
54,68 1,8866E05
55,12 1,8249E05
55,55 1,8192E05
55,99 1,5927E05
56,43 1,5727E05
56,87 1,3888E05
57,30 1,4235E05
57,74 1,4129E05
58,18 1,471E05
58,61 1,5617E05
59,05 1,5613E05
59,49 1,6566E05
59,93 2,025E05
60,36 2,2032E05
60,80 2,7477E05
61,24 1,8349E05
61,68 1,476E05
62,11 1,5092E05
62,55 1,7192E05
62,99 1,6181E05
63,43 2,5649E05
63,86 2,3459E05
64,30 2,0107E05
64,74 1,6133E05
65,18 1,355E05
65,61 1,5374E05
66,05 1,551E05
66,49 1,2802E05
66,93 1,4213E05
67,36 1,7722E05
67,80 1,5876E05
68,24 1,7389E05
68,68 2,4285E05
69,11 2,0992E05
69,55 1,8819E05
69,99 2,1617E05
70,43 2,0896E05
70,86 1,7298E05
71,30 1,8433E05
71,74 1,267E05
72,17 1,265E05
72,61 1,0543E05
73,05 1,2695E05
73,49 1,1482E05
73,92 1,0935E05
74,36 52701,00
74,80 30638,00
75,24 54507,00
75,67 79261,00
76,11 1,0141E05
76,55 45615,00
76,99 63445,00
77,42 93877,00
77,86 1,3456E05
78,30 1,0362E05
78,74 79381,00
79,17 87240,00
79,61 73013,00
80,05 1,0081E05
80,49 1,2748E05
80,92 1,5605E05
81,36 1,7139E05
81,80 1,5461E05
82,24 1,3982E05
82,67 1,4614E05
83,11 1,4352E05
83,55 1,1668E05
83,99 1,1567E05
84,42 1,0432E05
84,86 99056,00
85,30 93658,00
85,74 1,1948E05
86,17 1,8178E05
86,61 2,0389E05
87,05 2,5629E05
87,48 2,4016E05
87,92 2,2618E05
88,36 83270,00
88,80 71834,00
89,23 63777,00
89,67 80628,00
90,11 60583,00
90,55 75297,00
90,98 3,5053E05
91,42 9,7338E05
91,86 1,4256E06
92,30 1,484E06
92,73 1,4101E06
93,17 6,6576E05
93,61 1,4128E06
94,05 1,6054E06
94,48 1,6418E06
94,92 1,662E06
95,36 1,6647E06
95,80 1,6632E06
96,23 1,6607E06
96,67 1,6623E06
97,11 1,6615E06
97,55 1,6505E06
97,98 1,6151E06
98,42 1,5507E06
98,86 1,5127E06
99,30 1,5435E06
99,73 1,5113E06
100,20 1,3952E06
100,60 1,1612E06
101,00 6,3983E05
101,50 3,161E05
101,90 1,9521E05
102,40 78763,00
102,80 18939,00
103,20 10306,00
103,70 73984,00
104,10 1,8486E05
104,50 4,6444E05
105,00 7,5497E05
105,40 8,8446E05
105,90 8,6908E05
106,30 9,8389E05
106,70 1,1692E06
107,20 1,2258E06
107,60 1,2918E06
108,00 1,3011E06
108,50 1,3337E06
108,90 1,3438E06
109,40 1,3749E06
109,80 1,4246E06
110,20 1,467E06
110,70 1,495E06
111,10 1,5207E06
111,50 1,5563E06
112,00 1,5668E06
112,40 1,5901E06
112,90 1,5938E06
113,30 1,5968E06
113,70 1,5986E06
114,20 1,5976E06
114,60 1,6025E06
115,00 1,6039E06
115,50 1,6059E06
115,90 1,6021E06
116,40 1,6058E06
116,80 1,6077E06
117,20 1,6057E06
117,70 1,6034E06
118,10 1,6002E06
118,50 1,5953E06
119,00 1,5799E06
119,40 1,574E06
119,90 1,5606E06
120,30 1,5539E06
120,70 1,5522E06
121,20 1,5541E06
121,60 1,5532E06
122,00 1,5438E06
122,50 1,5374E06
122,90 1,5363E06
123,40 1,5323E06
123,80 1,5311E06
124,20 1,5079E06
124,70 1,5159E06
125,10 1,4901E06
125,50 1,482E06
126,00 1,4626E06
126,40 1,4761E06
126,90 1,4774E06
127,30 1,4696E06
127,70 1,4674E06
128,20 1,4566E06
128,60 1,4302E06
129,00 1,383E06
129,50 1,3439E06
129,90 1,2543E06
130,40 1,079E06
130,80 7,855E05
131,20 6,4924E05
131,70 6,1996E05
132,10 5,7374E05
132,50 5,3547E05
133,00 3,4901E05
133,40 3,025E05
133,90 2,9047E05
134,30 3,4526E05
134,70 3,2254E05
135,20 3,2787E05
135,60 3,2497E05
136,00 3,2679E05
136,50 3,4528E05
136,90 3,2219E05
137,40 2,9853E05
137,80 2,8036E05
138,20 2,6836E05
138,70 2,651E05
139,10 2,8243E05
139,50 2,7858E05
140,00 2,8445E05
140,40 2,6934E05
140,90 2,4806E05
